dataset,window_length,window_label,model,r2_mean,has_anomaly
SustainBench Soybean,3,2010-2012,Random Forest,0.1666215641960042,False
SustainBench Soybean,3,2010-2012,Ridge,0.0735453186033799,False
SustainBench Soybean,3,2010-2012,XGBoost,0.1201201961570675,False
SustainBench Soybean,3,2011-2013,Random Forest,0.1933973885487399,False
SustainBench Soybean,3,2011-2013,Ridge,0.1051638124799961,False
SustainBench Soybean,3,2011-2013,XGBoost,0.1178676970016143,False
SustainBench Soybean,3,2012-2014,Random Forest,0.3069295380896608,True
SustainBench Soybean,3,2012-2014,Ridge,0.2742303834165114,True
SustainBench Soybean,3,2012-2014,XGBoost,0.2090729484535473,True
SustainBench Soybean,3,2013-2015,Random Forest,0.1749337549014708,True
SustainBench Soybean,3,2013-2015,Ridge,0.2082490388284782,True
SustainBench Soybean,3,2013-2015,XGBoost,0.1095300492715712,True
SustainBench Soybean,3,2014-2016,Random Forest,-0.3241618154693011,True
SustainBench Soybean,3,2014-2016,Ridge,-0.3262007698700662,True
SustainBench Soybean,3,2014-2016,XGBoost,-0.3348434597787021,True
SustainBench Soybean,2,2010-2011,Random Forest,0.21217535866932782,False
SustainBench Soybean,2,2010-2011,Ridge,0.22228148661576183,False
SustainBench Soybean,2,2010-2011,XGBoost,0.13904962577919397,False
SustainBench Soybean,2,2011-2012,Random Forest,0.19065797970896822,False
SustainBench Soybean,2,2011-2012,Ridge,0.04769043212164955,False
SustainBench Soybean,2,2011-2012,XGBoost,0.15605584434725694,False
SustainBench Soybean,2,2012-2013,Random Forest,0.1772419580219402,False
SustainBench Soybean,2,2012-2013,Ridge,0.0920158392639359,False
SustainBench Soybean,2,2012-2013,XGBoost,0.1261210698444387,False
SustainBench Soybean,2,2013-2014,Random Forest,0.19850855795136493,True
SustainBench Soybean,2,2013-2014,Ridge,0.27229695373500745,True
SustainBench Soybean,2,2013-2014,XGBoost,0.13092657699742635,True
SustainBench Soybean,2,2014-2015,Random Forest,0.22477143855336434,True
SustainBench Soybean,2,2014-2015,Ridge,0.23481572749313182,True
SustainBench Soybean,2,2014-2015,XGBoost,0.2821016424205834,True
SustainBench Soybean,2,2015-2016,Random Forest,-0.5609535071190433,True
SustainBench Soybean,2,2015-2016,Ridge,-0.5992872920124509,True
SustainBench Soybean,2,2015-2016,XGBoost,-0.6131192323301291,True
SustainBench Soybean,5,2010-2014,Random Forest,0.22790520464549802,True
SustainBench Soybean,5,2010-2014,Ridge,0.1924495053747786,True
SustainBench Soybean,5,2010-2014,XGBoost,0.1473746222884862,True
SustainBench Soybean,5,2011-2015,Random Forest,0.2505940465660825,True
SustainBench Soybean,5,2011-2015,Ridge,0.23362668546564844,True
SustainBench Soybean,5,2011-2015,XGBoost,0.17420702308506178,True
